SourceID,Factor,Price,AssetID,SubPortfolioID,PortfolioID,AllocationAmount,AllocationQuantity,TradeDate,SettleDate,TradeDirection,AgreementType,IsSettled,IsKilled,IsExpired
131,0.37,98,1522,1170,148,"2,960,926","2,960,926",28-Aug-15,11-Sep-15,1,Assignment,0,0,0
131,0.37,98,1523,1170,148,"1,776,555","1,776,555",28-Aug-15,11-Sep-15,1,Assignment,0,0,0
131,0.37,98,1521,1170,148,"2,019,856","2,019,856",28-Aug-15,11-Sep-15,1,Assignment,0,0,0
161,0.49,100.05,16101,180,182,"20,000,000","20,000,000",25-Jul-23,25-Jul-23,-1,Assignment,1,0,0
132,0.50,99.5,18888,149,113,"631,418","631,418",18-Feb-16,23-Mar-16,-1,Assignment,1,0,0
132,0.50,99.625,18888,150,114,"313,876","313,876",18-Feb-16,23-Mar-16,-1,Assignment,1,0,0
132,0.50,95.5,18888,160,118,"631,418","631,418",18-Feb-16,23-Mar-16,-1,Assignment,1,0,0
132,0.50,99.375,18890,149,113,"669,807","669,807",18-Feb-16,23-Mar-16,-1,Assignment,1,0,0
132,0.65,35.08774,18890,150,114,"332,959","332,959",18-Feb-16,23-Mar-16,-1,Assignment,1,0,0
132,0.68,99,18890,160,118,"669,807","669,807",18-Feb-16,23-Mar-16,-1,Assignment,1,0,0
126,0.71,98.6,11589,115,1240,"1,471,099","1,471,099",20-Mar-25,24-Mar-25,-1,Assignment,1,0,0
182,0.78,99.15,1163659,111,111,"344,285","344,285",18-Sep-24,24-Oct-24,-1,Secondary Assignment,1,0,0
126,0.78,99.25,11589,126,1244,"704,342","704,342",20-Mar-25,24-Mar-25,-1,Assignment,1,0,0
182,0.79,100,1163686,14,14,"650,049","650,049",31-Jul-25,11-Aug-25,-1,Secondary Assignment,0,0,0
126,0.83,97.75,11589,188,1259,"381,033","381,033",20-Mar-25,24-Mar-25,-1,Assignment,1,0,0
182,0.83,99.75,1163686,18,18,"787,938","787,938",31-Jul-25,11-Aug-25,-1,Secondary Assignment,0,0,0
126,0.83,99.75,11589,188,1259,"381,033","381,033",20-Mar-25,24-Mar-25,-1,Assignment,1,1,0
182,0.83,99,1163686,110,110,"1,054,281","1,054,281",31-Jul-25,11-Aug-25,-1,Secondary Assignment,0,0,0
126,0.83,99.15,11589,126,1244,"704,342","704,342",20-Mar-25,24-Mar-25,-1,Assignment,1,1,0
182,0.83,99.125,1163659,14,14,"404,389","404,389",31-Jul-25,11-Aug-25,-1,Secondary Assignment,0,0,0
126,0.83,99,11589,115,1240,"1,471,099","1,471,099",20-Mar-25,24-Mar-25,-1,Assignment,1,1,0
182,0.83,99,1163659,18,18,"490,168","490,168",31-Jul-25,11-Aug-25,-1,Secondary Assignment,0,0,0
126,0.86,100,1738,13,1235,"101,216","101,216",24-Apr-24,03-May-24,-1,Assignment,0,0,0
182,0.86,100.4,1163659,110,110,"493,872","493,872",31-Jul-25,11-Aug-25,-1,Secondary Assignment,0,0,0